 'Cafe Van Gogh', 'SW', 'International',51.477636,-0.11262," 'Cafe Van Gogh is a 100% vegan, non-profit restaurant based in Brixton, South London.'", ”https://www.cafevangogh.co.uk/”,,,,,,,,,,,,,,,,,,,,
 'Simply Vegan', 'SW', 'European',51.479272,-0.199267," 'Vegan cafe serving home made lunch buffet, a la carte dinner, drinks and lots of cakes.'", ”https://www.simplyv.uk/”,,,,,,,,,,,,,,,,,,,,
 'Vegan Express', 'SW', 'Western',51.431631,-0.175939," 'Serving fresh, homemade, plant-based food'", ”http://www.veganexpress.co.uk/”,,,,,,,,,,,,,,,,,,,,
 'Deserted Cactus', 'SE', 'Carribbean',51.469856,-0.067996, 'Homemade small batch vegan daily menu by London Afro Vegan.', ”https://en-gb.facebook.com/DesertedCactus/”,,,,,,,,,,,,,,,,,,,,
 'Zionly Manna', 'SE', 'Carribbean',51.471153,-0.06977, 'Vegan Caribbean cafe inside the Rye Lane indoor market.', ”https://en-gb.facebook.com/Zionly-Manna-Vegan-Rastarant-1816427661972559/”,,,,,,,,,,,,,,,,,,,,
 '222 Vegan Cuisine', 'W', 'Western ',51.485869,-0.202985, 'Vegan restaurant in West Kensington offering buffet lunch and a la carte evening dining.', ”http://www.222vegan.com/”,,,,,,,,,,,,,,,,,,,,
 'Nama Artisan Raw Foods', 'W', 'Raw',51.516908,-0.200452," 'Raw Vegan Restaurant in London offering courses, raw vegan catering, cleanses, raw vegan cakes and all manner of information on the raw vegan lifestyle.'", ”https://namafoods.com/”,,,,,,,,,,,,,,,,,,,,
 'Oasis Ethiopian', 'W', 'Ethiopian',51.502078,-0.229306, 'Ethiopia vegan cuisine and juice bar.', ”https://www.yelp.co.uk/biz/oasis-ethiopia-london-2”,,,,,,,,,,,,,,,,,,,,
 'Redemption - Notting Hill', 'W', 'Western ',51.515534,-0.195085, 'London's healthiest restaurant & bar. Why should socialising always be at the expense of your health? Come and spoil yourself without spoiling yourself.', ”https://www.redemptionbar.co.uk/”,,,,,,,,,,,,,,,,,,,,
 'Tai Buffet - To-Fu', 'W', 'Chinese',51.50483,-0.220957, 'Vegan buffet featuring numerous dishes.', ”https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8499752-Reviews-Tai_Buffet-London_England.html”,,,,,,,,,,,,,,,,,,,,
 'Tanya's Cafe', 'W', 'Raw',51.491935,-0.168454," 'Tanya's of Chelsea offers a beautiful organic, all-day, living, plant-based menu. Energising, cleansing, nourishing & indulgent cheezecakes, salads & drinks.'", ”https://tanyasliving.com/”,,,,,,,,,,,,,,,,,,,,
 'Itadaki Zen', 'C', 'Japanese',51.529522,-0.116105," 'Itadaki Zen desires to be a cultural place made both of sharing and personal experience with food, Art and people'", ”http://www.itadakizen-uk.com/”,,,,,,,,,,,,,,,,,,,,
 'Wild Food Cafe', 'C', 'Raw',51.514561,-0.126364, 'Raw-centric plant based eatery in London created around the art of feeling great', ”http://www.wildfoodcafe.com/”,,,,,,,,,,,,,,,,,,,,
 'Wulf & Lamb', 'C', 'Fusion ',51.493609,-0.158737," ' Tucked away in a mews just off Sloane Square, Wulf &Lamb's doors are open for breakfast, lunch and dinner – and everything in-between'", ”http://wulfandlamb.com/”
